,Hotel Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0,Newark Liberty International Airport Marriott,11.594202898550725,22.753623188405797,38.69565217391304,-1.0,-1.0,52.31884057971015,18.985507246376812,11.594202898550725,5.507246376811594,17.53623188405797,35.65217391304348,-1.0,0.0,10.144927536231885,20.28985507246377,-1.0,-1.0,46.3768115942029,10.144927536231885,0.0,-1.0,55.072463768115945,-1.0,-1.0,2.1739130434782608,12.318840579710146,22.463768115942027,-1.0,-1.0,65.21739130434783,17.53623188405797,8.985507246376812,84.05797101449275,68.11594202898551,-1.0,-1.0,27.82608695652174,42.608695652173914,52.46376811594203,-1.0,-1.0,64.34782608695652,36.3768115942029,21.594202898550723,78.26086956521739,68.11594202898551,60.86956521739131,-1.0,16.666666666666664,28.985507246376812,42.46376811594203,-1.0,-1.0,57.68115942028985,26.521739130434785,16.666666666666664,85.5072463768116,69.56521739130434,-1.0,-1.0,30.144927536231886,38.69565217391304,51.01449275362319,-1.0,12.89855072463768,21.44927536231884,36.231884057971016,-1.0,-1.0,60.0,20.144927536231886,14.057971014492754,100.0,92.7536231884058,-1.0,-1.0,16.666666666666664,26.521739130434785,41.30434782608695,-1.0,-1.0,50.43478260869565,17.82608695652174,11.73913043478261,-1.0,25.36231884057971,35.21739130434783,51.15942028985507,10.579710144927535,20.434782608695652,36.3768115942029,-1.0,-1.0,47.82608695652174,15.507246376811596,10.579710144927535,84.05797101449275,68.11594202898551,-1.0,-1.0,-1.0,21.594202898550723,31.44927536231884,46.231884057971016,11.73913043478261,21.594202898550723,36.3768115942029,-1.0,-1.0,48.98550724637681,16.666666666666664,11.73913043478261,86.95652173913044,69.56521739130434,-1.0,-1.0,85.5072463768116,75.36231884057972,-1.0,-1.0,-1.0,28.840579710144926,38.69565217391304,53.47826086956522,17.82608695652174,27.681159420289852,42.46376811594203,-1.0,-1.0,51.8840579710145,22.753623188405797,15.36231884057971,84.05797101449275,65.21739130434783,-1.0,-1.0,16.666666666666664,33.91304347826087,49.85507246376812,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.26086956521739,55.21739130434783,22.608695652173914,10.289855072463768,76.81159420289855,59.42028985507246,-1.0,-1.0,75.36231884057972,66.66666666666666,-1.0,-1.0
1,Hilton Garden Inn Times Square,39.34142114384749,46.360485268630846,48.96013864818024,39.42807625649913,40.72790294627383,35.78856152512998,32.582322357019066,38.30155979202773,21.663778162911612,32.06239168110919,25.82322357019064,25.216637781629114,-1.0,24.696707105719238,22.96360485268631,16.031195840554595,22.357019064124785,25.64991334488735,22.790294627383016,-1.0,15.164644714038127,-1.0,24.696707105719238,13.518197573656845,88.30155979202773,81.19584055459272,75.30329289428076,71.83708838821491,-1.0,58.578856152513005,52.686308492201036,65.59792027729637,83.0155979202773,81.36915077989602,70.79722703639516,78.68284228769498,83.0155979202773,87.60831889081456,100.0,96.2738301559792,77.9896013864818,78.85615251299826,69.23743500866551,77.90294627383015,48.96013864818024,46.360485268630846,35.961871750433275,35.09532062391681,56.845753899480066,68.54419410745234,79.54939341421144,73.83015597920277,60.22530329289428,61.09185441941074,64.5580589254766,50.25996533795494,51.733102253032925,49.04679376083189,42.02772963604853,36.3951473136915,75.30329289428076,86.22183708838821,95.66724436741768,82.92894280762565,81.8890814558059,75.82322357019065,66.29116117850953,77.29636048526864,69.41074523396881,62.47833622183708,59.96533795493934,76.34315424610053,58.578856152513005,64.5580589254766,55.892547660311955,73.3102253032929,-1.0,67.50433275563257,77.9896013864818,58.4055459272097,63.51819757365684,65.59792027729637,49.04679376083189,67.50433275563257,72.44367417677643,72.44367417677643,72.44367417677643,-1.0,64.5580589254766,70.8838821490468,64.5580589254766,65.42461005199307,61.35181975736569,48.96013864818024,52.772963604852684,43.240901213171576,63.69150779896013,59.01213171577123,63.69150779896013,59.01213171577123,78.59618717504333,80.15597920277297,74.4367417677643,-1.0,36.82842287694974,40.294627383015595,-1.0,32.842287694974004,37.001733102253034,42.63431542461005,30.502599653379548,36.13518197573657,27.03639514731369,29.54939341421144,27.209705372616984,-1.0,-1.0,-1.0,-1.0,-1.0,50.08665511265165,49.393414211438476,51.559792027729635,-1.0,36.82842287694974,35.961871750433275,31.542461005199307,32.40901213171577,-1.0,21.23050259965338,21.23050259965338,19.32409012131716,44.62738301559792,21.23050259965338,40.72790294627383,40.03466204506066,25.476603119584055,35.78856152512998,-1.0,25.563258232235704,-1.0,30.329289428076255,0.0,6.152512998266898,-1.0,-1.0,-1.0,42.98093587521664,-1.0,21.750433275563257,28.509532062391678,30.675909878682845,43.76083188908146,33.36221837088388,21.750433275563257,17.504332755632582,66.81109185441942,46.79376083188908,36.04852686308492,50.25996533795494
2,Residence Inn Newark Elizabeth Liberty International Airport,66.66666666666666,73.5632183908046,82.75862068965517,-1.0,-1.0,-1.0,57.24137931034483,66.66666666666666,57.47126436781609,66.66666666666666,78.16091954022988,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.26436781609196,57.47126436781609,-1.0,-1.0,-1.0,-1.0,55.172413793103445,62.06896551724138,73.5632183908046,-1.0,-1.0,-1.0,64.36781609195403,59.77011494252874,-1.0,-1.0,-1.0,-1.0,59.77011494252874,80.45977011494253,82.75862068965517,-1.0,-1.0,-1.0,75.86206896551724,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.5632183908046,89.65517241379311,87.35632183908046,-1.0,54.252873563218394,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,57.931034482758626,-1.0,-1.0,-1.0,-1.0,53.333333333333336,54.71264367816092,96.55172413793103,-1.0,-1.0,-1.0,58.39080459770115,53.333333333333336,-1.0,37.01149425287356,44.13793103448276,58.85057471264368,26.20689655172414,31.264367816091955,45.97701149425287,-1.0,-1.0,-1.0,31.494252873563216,23.448275862068964,-1.0,-1.0,-1.0,-1.0,59.77011494252874,22.528735632183906,15.172413793103448,27.126436781609197,14.022988505747128,11.954022988505747,23.908045977011493,-1.0,-1.0,-1.0,22.528735632183906,14.022988505747128,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.850574712643677,25.517241379310345,37.47126436781609,12.183908045977011,18.850574712643677,30.804597701149426,-1.0,-1.0,-1.0,18.850574712643677,12.183908045977011,-1.0,-1.0,-1.0,-1.0,3.67816091954023,16.551724137931036,32.64367816091954,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,11.03448275862069,-1.0,-1.0,16.551724137931036,3.67816091954023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Westin New York at Times Square,14.533132530120483,15.58734939759036,19.427710843373493,-1.0,-1.0,16.189759036144576,-1.0,14.38253012048193,7.003012048192771,10.843373493975903,18.59939759036145,-1.0,0.9789156626506025,4.442771084337349,11.822289156626505,19.427710843373493,-1.0,-1.0,-1.0,-1.0,0.0,13.55421686746988,9.33734939759036,7.228915662650602,-1.0,-1.0,82.45481927710844,-1.0,44.27710843373494,47.06325301204819,52.484939759036145,-1.0,-1.0,57.454819277108435,51.88253012048193,-1.0,-1.0,100.0,71.3855421686747,87.34939759036145,34.33734939759036,35.69277108433735,42.92168674698795,-1.0,-1.0,26.731927710843372,23.343373493975903,26.731927710843372,55.72289156626506,53.31325301204819,57.75602409638554,77.40963855421687,-1.0,-1.0,-1.0,-1.0,-1.0,68.59939759036145,-1.0,81.09939759036145,73.3433734939759,80.42168674698796,86.37048192771084,-1.0,21.536144578313255,26.80722891566265,30.49698795180723,67.39457831325302,-1.0,27.86144578313253,-1.0,19.27710843373494,-1.0,41.94277108433735,28.313253012048197,31.852409638554217,44.126506024096386,48.644578313253014,53.087349397590366,89.98493975903614,-1.0,47.816265060240966,40.36144578313253,36.596385542168676,-1.0,65.4367469879518,68.90060240963855,-1.0,40.36144578313253,45.48192771084337,48.87048192771085,-1.0,51.50602409638554,43.59939759036144,40.73795180722892,34.41265060240964,-1.0,47.06325301204819,39.90963855421687,57.00301204819277,-1.0,50.903614457831324,61.14457831325302,-1.0,20.03012048192771,24.548192771084338,28.237951807228917,-1.0,29.21686746987952,21.460843373493976,19.879518072289155,14.006024096385541,-1.0,37.27409638554217,33.58433734939759,49.54819277108434,56.852409638554214,47.06325301204819,62.19879518072289,-1.0,38.10240963855422,44.126506024096386,49.17168674698795,-1.0,34.78915662650602,38.855421686746986,42.243975903614455,46.00903614457831,-1.0,20.55722891566265,14.60843373493976,13.253012048192772,-1.0,26.581325301204817,22.89156626506024,45.4066265060241,24.84939759036145,30.57228915662651,33.81024096385542,-1.0,-1.0,11.219879518072288,-1.0,8.283132530120483,2.710843373493976,7.379518072289157,8.358433734939759,7.680722891566265,-1.0,29.89457831325301,21.234939759036145,22.213855421686745,-1.0,26.731927710843372,23.94578313253012,19.57831325301205,-1.0,49.47289156626506,45.78313253012048,-1.0
4,Loews Regency New York Hotel,5.217391304347826,10.869565217391305,5.217391304347826,-1.0,0.0,0.0,-1.0,-1.0,5.217391304347826,3.4782608695652173,5.217391304347826,-1.0,1.7391304347826086,3.4782608695652173,5.217391304347826,-1.0,1.7391304347826086,3.4782608695652173,-1.0,-1.0,3.4782608695652173,5.217391304347826,3.4782608695652173,1.7391304347826086,65.21739130434783,69.56521739130434,73.91304347826086,78.26086956521739,56.52173913043478,65.21739130434783,69.56521739130434,65.21739130434783,69.56521739130434,73.91304347826086,69.56521739130434,100.0,-1.0,69.56521739130434,73.91304347826086,82.6086956521739,-1.0,76.08695652173914,-1.0,-1.0,80.43478260869566,78.26086956521739,76.08695652173914,82.6086956521739,-1.0,86.95652173913044,100.0,-1.0,65.21739130434783,69.56521739130434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.60869565217392,61.73913043478261,64.78260869565217,-1.0,73.91304347826086,61.73913043478261,64.78260869565217,76.08695652173914,54.78260869565217,69.56521739130434,76.08695652173914,73.91304347826086,67.3913043478261,63.04347826086957,63.04347826086957,56.52173913043478,44.78260869565218,47.17391304347826,48.69565217391305,56.086956521739125,54.78260869565217,61.73913043478261,54.565217391304344,60.43478260869565,73.91304347826086,69.56521739130434,45.26086956521739,47.0,65.21739130434783,38.30434782608695,36.56521739130435,38.30434782608695,65.21739130434783,29.60869565217391,27.869565217391308,43.47826086956522,27.869565217391308,29.60869565217391,38.30434782608695,40.04347826086956,47.0,36.56521739130435,31.34782608695652,48.73913043478261,26.08695652173913,36.56521739130435,31.34782608695652,40.04347826086956,45.65217391304348,45.65217391304348,39.130434782608695,43.47826086956522,26.130434782608695,31.34782608695652,52.17391304347826,29.60869565217391,47.82608695652174,52.17391304347826,47.82608695652174,-1.0,65.21739130434783,34.78260869565217,31.34782608695652,52.17391304347826,29.60869565217391,29.60869565217391,31.34782608695652,31.34782608695652,54.347826086956516,17.391304347826086,17.391304347826086,17.391304347826086,34.78260869565217,17.391304347826086,17.391304347826086,43.47826086956522,52.17391304347826,-1.0,-1.0,-1.0,6.521739130434782,12.217391304347826,13.956521739130434,15.695652173913043,23.91304347826087,19.17391304347826,19.565217391304348,22.652173913043477,-1.0,-1.0,35.65217391304348,41.73913043478261,-1.0,-1.0,35.65217391304348,54.78260869565217,-1.0,-1.0,50.0,-1.0
5,Viceroy New York,18.0,21.333333333333336,38.666666666666664,26.666666666666668,16.0,-1.0,-1.0,-1.0,8.0,11.0,14.000000000000002,15.8,0.0,5.333333333333334,10.666666666666668,13.4,6.2,7.3999999999999995,-1.0,-1.0,-1.0,-1.0,-1.0,12.666666666666668,-1.0,-1.0,-1.0,-1.0,59.599999999999994,78.2,74.0,89.0,-1.0,32.6,58.4,-1.0,84.2,65.0,92.60000000000001,86.6,47.0,70.0,59.599999999999994,85.39999999999999,73.33333333333333,60.0,68.0,68.0,76.0,61.4,70.33333333333334,70.46666666666667,50.8,57.8,27.800000000000004,-1.0,100.0,41.0,63.93333333333333,94.66666666666667,-1.0,82.0,90.0,86.0,65.33333333333333,60.0,68.0,50.6,56.99999999999999,78.26666666666667,64.93333333333334,72.86666666666667,86.6,55.400000000000006,75.8,74.66666666666667,57.333333333333336,54.0,59.333333333333336,66.66666666666666,47.4,60.93333333333333,54.86666666666666,78.46666666666667,76.66666666666667,75.8,72.73333333333333,78.46666666666667,54.0,60.0,66.0,64.8,55.400000000000006,47.333333333333336,32.0,33.33333333333333,66.66666666666666,42.0,45.33333333333333,61.8,71.33333333333334,68.0,52.46666666666666,72.66666666666667,40.666666666666664,44.0,47.599999999999994,44.0,34.0,32.0,30.0,34.0,62.66666666666667,47.599999999999994,42.266666666666666,-1.0,60.199999999999996,57.266666666666666,-1.0,-1.0,-1.0,-1.0,48.13333333333333,45.06666666666666,-1.0,26.666666666666668,32.0,51.6,-1.0,-1.0,37.333333333333336,42.66666666666667,46.666666666666664,39.800000000000004,35.733333333333334,46.0,28.199999999999996,35.733333333333334,40.666666666666664,33.800000000000004,4.0,4.0,17.733333333333334,1.3333333333333335,25.333333333333336,20.0,22.666666666666664,22.666666666666664,21.8,18.666666666666668,15.466666666666667,25.333333333333336,-1.0,28.666666666666668,44.0,-1.0,76.66666666666667,52.666666666666664,-1.0,-1.0
6,Four Seasons Hotel New York,1.328502415458937,5.314009661835748,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.328502415458937,5.314009661835748,-1.0,-1.0,-1.0,5.314009661835748,-1.0,-1.0,0.0,2.657004830917874,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,52.17391304347826,52.65700483091788,56.763285024154584,62.07729468599034,-1.0,-1.0,52.17391304347826,47.34299516908212,56.038647342995176,50.0,52.65700483091788,72.46376811594203,56.52173913043478,56.52173913043478,63.76811594202898,61.35265700483091,44.44444444444444,44.44444444444444,44.44444444444444,47.34299516908212,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.26086956521739,48.309178743961354,57.2463768115942,53.62318840579711,37.19806763285024,63.76811594202898,100.0,-1.0,-1.0,53.14009661835749,53.62318840579711,-1.0,37.19806763285024,39.61352657004831,42.028985507246375,34.78260869565217,37.19806763285024,39.61352657004831,-1.0,32.367149758454104,32.367149758454104,39.61352657004831,35.990338164251206,49.033816425120776,67.3913043478261,48.309178743961354,53.62318840579711,-1.0,-1.0,48.309178743961354,-1.0,57.2463768115942,50.48309178743962,53.14009661835749,53.62318840579711,47.34299516908212,42.99516908212561,39.61352657004831,42.028985507246375,34.78260869565217,37.19806763285024,39.61352657004831,44.44444444444444,42.028985507246375,39.61352657004831,37.19806763285024,34.78260869565217,44.44444444444444,44.44444444444444,48.06763285024155,56.038647342995176,47.34299516908212,44.44444444444444,53.14009661835749,42.028985507246375,44.44444444444444,44.44444444444444,39.61352657004831,49.275362318840585,56.038647342995176,44.44444444444444,55.55555555555556,-1.0,44.44444444444444,53.14009661835749,50.24154589371981,-1.0,-1.0,-1.0,-1.0,56.038647342995176,-1.0,-1.0,53.14009661835749,56.038647342995176,-1.0,-1.0,53.14009661835749,-1.0,44.44444444444444,44.44444444444444,46.85990338164252,49.75845410628019,-1.0,-1.0,-1.0,-1.0,42.028985507246375,32.367149758454104,32.367149758454104,32.367149758454104,30.31400966183575,31.714975845410624,29.879227053140095,30.31400966183575,32.367149758454104,32.367149758454104,32.367149758454104,34.78260869565217,32.367149758454104,39.61352657004831,37.19806763285024,38.88888888888889,46.85990338164252,48.309178743961354,42.99516908212561,-1.0
7,Langham Place New York Fifth Avenue,47.292666209732694,38.65661411925977,49.04043865661412,12.337217272104182,0.0,38.65661411925977,3.0843043180260454,-1.0,12.302947224126113,13.639479095270735,12.954078135709391,15.01028101439342,8.910212474297465,13.228238519533928,15.284441398217957,23.166552433173408,1.0281014393420151,7.196710075394106,8.224811514736121,-1.0,-1.0,-1.0,-1.0,16.24400274160384,82.45373543522962,87.45716244002742,79.57505140507197,-1.0,-1.0,81.28855380397533,-1.0,-1.0,-1.0,73.74914324880055,-1.0,-1.0,84.27004797806717,75.83961617546264,93.69431117203564,95.44208361891707,60.62371487320082,85.88074023303632,73.74914324880055,-1.0,-1.0,-1.0,-1.0,-1.0,51.61069225496916,47.189856065798494,47.189856065798494,56.06579849211789,62.06305688827965,60.62371487320082,-1.0,100.0,60.62371487320082,-1.0,-1.0,-1.0,64.87320082248115,64.63331048663467,77.6559287183002,95.44208361891707,59.59561343385881,59.4928032899246,67.71761480466073,73.26936257710761,53.427004797806724,60.24674434544208,-1.0,59.59561343385881,-1.0,-1.0,-1.0,-1.0,49.451679232350926,38.27964359150103,51.850582590815634,56.27141877998629,39.65044551062372,49.28032899246059,46.88142563399589,-1.0,69.08841672378341,46.88142563399589,62.097326936257716,54.07813570939,44.48252227553118,45.681973954763535,50.47978067169294,-1.0,28.23851953392735,-1.0,57.710760795065106,-1.0,-1.0,54.79780671692941,-1.0,-1.0,72.92666209732694,53.015764222069905,64.29061000685401,73.26936257710761,54.07813570939,57.33379026730637,65.49006168608636,72.72104180945853,41.50102810143934,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.4928032899246,44.48252227553118,48.080877313228235,52.87868403015764,42.08361891706648,40.884167237834134,45.681973954763535,50.47978067169294,-1.0,41.32967786154901,42.563399588759424,-1.0,-1.0,-1.0,-1.0,59.972583961617545,40.918437285812196,50.616860863605204,54.352296093214534,60.21247429746401,-1.0,-1.0,-1.0,-1.0,39.68471555860178,39.68471555860178,45.681973954763535,-1.0,28.889650445510622,-1.0,-1.0,-1.0,33.104866346812884,-1.0,-1.0,39.03358464701851,-1.0,-1.0,56.44276901987663,56.819739547635365
8,The Carlyle A Rosewood Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.95652173913043,39.130434782608695,-1.0,0.0,39.130434782608695,54.347826086956516,-1.0,8.152173913043478,-1.0,73.91304347826086,73.91304347826086,-1.0,29.347826086956523,32.608695652173914,32.608695652173914,29.347826086956523,-1.0,27.717391304347828,27.717391304347828,29.347826086956523,39.130434782608695,37.5,42.391304347826086,47.28260869565217,29.347826086956523,30.978260869565215,32.608695652173914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.08695652173913,29.347826086956523,32.608695652173914,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,32.608695652173914,32.608695652173914,39.130434782608695,39.130434782608695,54.347826086956516,60.86956521739131,65.21739130434783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,82.6086956521739,-1.0,-1.0,-1.0,13.043478260869565,17.934782608695652,22.82608695652174,8.152173913043478,13.043478260869565,17.934782608695652,22.82608695652174,21.195652173913043,22.82608695652174,24.456521739130434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,DoubleTree by Hilton Metropolitan - New York City,5.287713841368585,7.4650077760497675,23.79471228615863,21.461897356143076,-1.0,-1.0,0.0,5.909797822706065,10.57542768273717,-1.0,-1.0,-1.0,17.573872472783826,-1.0,-1.0,-1.0,-1.0,9.79782270606532,17.573872472783826,-1.0,-1.0,5.909797822706065,-1.0,-1.0,59.56454121306376,69.67340590979782,72.78382581648522,71.22861586314151,-1.0,46.3452566096423,-1.0,-1.0,84.44790046656298,76.67185069984448,60.73094867807154,55.443234836702956,93.7791601866252,79.78227060653188,96.8895800933126,100.0,-1.0,59.56454121306376,-1.0,-1.0,75.11664074650078,65.00777604976672,40.90202177293934,-1.0,49.766718506998444,52.56609642301711,87.55832037325038,54.12130637636081,47.900466562986004,48.21150855365474,48.67807153965785,49.4556765163297,51.788491446345255,48.67807153965785,47.900466562986004,63.45256609642301,87.55832037325038,98.4447900466563,87.55832037325038,73.56143079315707,57.23172628304821,54.12130637636081,75.89424572317263,48.67807153965785,40.1244167962675,26.905132192846033,26.905132192846033,-1.0,64.23017107309487,58.78693623639192,44.7900466562986,-1.0,65.78538102643857,-1.0,-1.0,62.674961119751174,53.654743390357694,-1.0,50.233281493001556,51.788491446345255,-1.0,-1.0,72.00622083981337,67.26283048211509,66.56298600311042,-1.0,65.00777604976672,58.78693623639192,-1.0,-1.0,41.679626749611195,-1.0,-1.0,46.81181959564541,58.009331259720064,-1.0,-1.0,67.34059097978226,33.592534992223946,-1.0,-1.0,21.30637636080871,27.060653188180407,27.371695178849144,-1.0,27.060653188180407,13.763608087091757,12.752721617418352,35.30326594090202,16.09642301710731,21.30637636080871,-1.0,22.08398133748056,27.060653188180407,47.27838258164852,46.96734059097978,-1.0,28.304821150855364,-1.0,-1.0,16.174183514774494,24.183514774494558,21.61741835147745,32.97045101088647,12.28615863141524,11.19751166407465,10.964230171073094,9.953343701399689,44.012441679626754,16.018662519440124,27.682737169517885,21.073094867807153,11.275272161741835,44.16796267496112,-1.0,15.241057542768274,23.250388802488338,23.250388802488338,19.828926905132192,9.17573872472784,-1.0,-1.0,17.962674961119752,-1.0,-1.0,13.141524105754277,-1.0,-1.0,17.02954898911353,27.527216174183515,23.63919129082426,13.608087091757387,68.58475894245724,61.11975116640747,38.64696734059098,35.69206842923795
