Newark Liberty International Airport Marriott,795,872,982,-1,-1,1076,846,795,753,836,961,-1,715,785,855,-1,-1,1035,785,715,-1,1095,-1,-1,730,800,870,-1,-1,1165,836,777,1295,1185,-1,-1,907,1009,1077,-1,-1,1159,966,864,1255,1185,1135,-1,830,915,1008,-1,-1,1113,898,830,1305,1195,-1,-1,923,982,1067,-1,804,863,965,-1,-1,1129,854,812,1405,1355,-1,-1,830,898,1000,-1,-1,1063,838,796,-1,890,958,1068,788,856,966,-1,-1,1045,822,788,1295,1185,-1,-1,-1,864,932,1034,796,864,966,-1,-1,1053,830,796,1315,1195,-1,-1,1305,1235,-1,-1,-1,914,982,1084,838,906,1008,-1,-1,1073,872,821,1295,1165,-1,-1,830,949,1059,-1,-1,-1,-1,-1,-1,-1,-1,-1,1255,1096,871,786,1245,1125,-1,-1,1235,1175,-1,-1
Hilton Garden Inn Times Square,1224,1305,1335,1225,1240,1183,1146,1212,1020,1140,1068,1061,-1,1055,1035,955,1028,1066,1033,-1,945,-1,1055,926,1789,1707,1639,1599,-1,1446,1378,1527,1728,1709,1587,1678,1728,1781,1924,1881,1670,1680,1569,1669,1335,1305,1185,1175,1426,1561,1688,1622,1465,1475,1515,1350,1367,1336,1255,1190,1639,1765,1874,1727,1715,1645,1535,1662,1571,1491,1462,1651,1446,1515,1415,1616,-1,1549,1670,1444,1503,1527,1336,1549,1606,1606,1606,-1,1515,1588,1515,1525,1478,1335,1379,1269,1505,1451,1505,1451,1677,1695,1629,-1,1195,1235,-1,1149,1197,1262,1122,1187,1082,1111,1084,-1,-1,-1,-1,-1,1348,1340,1365,-1,1195,1185,1134,1144,-1,1015,1015,993,1285,1015,1240,1232,1064,1183,-1,1065,-1,1120,770,841,-1,-1,-1,1266,-1,1021,1099,1124,1275,1155,1021,972,1541,1310,1186,1350
Residence Inn Newark Elizabeth Liberty International Airport,925,955,995,-1,-1,-1,884,925,885,925,975,-1,-1,-1,-1,-1,-1,-1,945,885,-1,-1,-1,-1,875,905,955,-1,-1,-1,915,895,-1,-1,-1,-1,895,985,995,-1,-1,-1,965,925,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,955,1025,1015,-1,871,-1,1070,-1,-1,-1,-1,887,-1,-1,-1,-1,867,873,1055,-1,-1,-1,889,867,-1,796,827,891,749,771,835,-1,-1,-1,772,737,-1,-1,-1,-1,895,733,701,753,696,687,739,-1,-1,-1,733,696,-1,-1,-1,-1,-1,-1,-1,-1,-1,717,746,798,688,717,769,-1,-1,-1,717,688,-1,-1,-1,-1,651,707,777,-1,-1,-1,-1,-1,635,635,635,683,-1,-1,707,651,-1,-1,-1,-1,-1,-1,-1,-1
Westin New York at Times Square,1263,1277,1328,-1,-1,1285,-1,1261,1163,1214,1317,-1,1083,1129,1227,1328,-1,-1,-1,-1,1070,1250,1194,1166,-1,-1,2165,-1,1658,1695,1767,-1,-1,1833,1759,-1,-1,2398,2018,2230,1526,1544,1640,-1,-1,1425,1380,1425,1810,1778,1837,2098,-1,-1,-1,-1,-1,1981,-1,2147,2044,2138,2217,-1,1356,1426,1475,1965,-1,1440,-1,1326,-1,1627,1446,1493,1656,1716,1775,2265,-1,1705,1606,1556,-1,1939,1985,-1,1606,1674,1719,-1,1754,1649,1611,1527,-1,1695,1600,1827,-1,1746,1882,-1,1336,1396,1445,-1,1458,1355,1334,1256,-1,1565,1516,1728,1825,1695,1896,-1,1576,1656,1723,-1,1532,1586,1631,1681,-1,1343,1264,1246,-1,1423,1374,1673,1400,1476,1519,-1,-1,1219,-1,1180,1106,1168,1181,1172,-1,1467,1352,1365,-1,1425,1388,1330,-1,1727,1678,-1
Loews Regency New York Hotel,1715,1845,1715,-1,1595,1595,-1,-1,1715,1675,1715,-1,1635,1675,1715,-1,1635,1675,-1,-1,1675,1715,1675,1635,3095,3195,3295,3395,2895,3095,3195,3095,3195,3295,3195,3895,-1,3195,3295,3495,-1,3345,-1,-1,3445,3395,3345,3495,-1,3595,3895,-1,3095,3195,-1,-1,-1,-1,-1,-1,3035,3015,3085,-1,3295,3015,3085,3345,2855,3195,3345,3295,3145,3045,3045,2895,2625,2680,2715,2885,2855,3015,2850,2985,3295,3195,2636,2676,3095,2476,2436,2476,3095,2276,2236,2595,2236,2276,2476,2516,2676,2436,2316,2716,2195,2436,2316,2516,2645,2645,2495,2595,2196,2316,2795,2276,2695,2795,2695,-1,3095,2395,2316,2795,2276,2276,2316,2316,2845,1995,1995,1995,2395,1995,1995,2595,2795,-1,-1,-1,1745,1876,1916,1956,2145,2036,2045,2116,-1,-1,2415,2555,-1,-1,2415,2855,-1,-1,2745,-1
Viceroy New York,1495,1545,1805,1625,1465,-1,-1,-1,1345,1390,1435,1462,1225,1305,1385,1426,1318,1336,-1,-1,-1,-1,-1,1415,-1,-1,-1,-1,2119,2398,2335,2560,-1,1714,2101,-1,2488,2200,2614,2524,1930,2275,2119,2506,2325,2125,2245,2245,2365,2146,2280,2282,1987,2092,1642,-1,2725,1840,2184,2645,-1,2455,2575,2515,2205,2125,2245,1984,2080,2399,2199,2318,2524,2056,2362,2345,2085,2035,2115,2225,1936,2139,2048,2402,2375,2362,2316,2402,2035,2125,2215,2197,2056,1935,1705,1725,2225,1855,1905,2152,2295,2245,2012,2315,1835,1885,1939,1885,1735,1705,1675,1735,2165,1939,1859,-1,2128,2084,-1,-1,-1,-1,1947,1901,-1,1625,1705,1999,-1,-1,1785,1865,1925,1822,1761,1915,1648,1761,1835,1732,1285,1285,1491,1245,1605,1525,1565,1565,1552,1505,1457,1605,-1,1655,1885,-1,2375,2015,-1,-1
Four Seasons Hotel New York,3090,3255,-1,-1,-1,-1,-1,-1,3090,3255,-1,-1,-1,3255,-1,-1,3035,3145,-1,-1,-1,-1,-1,-1,5195,5215,5385,5605,-1,-1,5195,4995,5355,5105,5215,6035,5375,5375,5675,5575,4875,4875,4875,4995,-1,-1,-1,-1,-1,-1,-1,-1,-1,6275,5035,5405,5255,4575,5675,7175,-1,-1,5235,5255,-1,4575,4675,4775,4475,4575,4675,-1,4375,4375,4675,4525,5065,5825,5035,5255,-1,-1,5035,-1,5405,5125,5235,5255,4995,4815,4675,4775,4475,4575,4675,4875,4775,4675,4575,4475,4875,4875,5025,5355,4995,4875,5235,4775,4875,4875,4675,5075,5355,4875,5335,-1,4875,5235,5115,-1,-1,-1,-1,5355,-1,-1,5235,5355,-1,-1,5235,-1,4875,4875,4975,5095,-1,-1,-1,-1,4775,4375,4375,4375,4290,4348,4272,4290,4375,4375,4375,4475,4375,4675,4575,4645,4975,5035,4815,-1
Langham Place New York Fifth Avenue,3075,2823,3126,2055,1695,2823,1785,-1,2054,2093,2073,2133,1955,2081,2141,2371,1725,1905,1935,-1,-1,-1,-1,2169,4101,4247,4017,-1,-1,4067,-1,-1,-1,3847,-1,-1,4154,3908,4429,4480,3464,4201,3847,-1,-1,-1,-1,-1,3201,3072,3072,3331,3506,3464,-1,4613,3464,-1,-1,-1,3588,3581,3961,4480,3434,3431,3671,3833,3254,3453,-1,3434,-1,-1,-1,-1,3138,2812,3208,3337,2852,3133,3063,-1,3711,3063,3507,3273,2993,3028,3168,-1,2519,-1,3379,-1,-1,3294,-1,-1,3823,3242,3571,3833,3273,3368,3606,3817,2906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3431,2993,3098,3238,2923,2888,3028,3168,-1,2901,2937,-1,-1,-1,-1,3445,2889,3172,3281,3452,-1,-1,-1,-1,2853,2853,3028,-1,2538,-1,-1,-1,2661,-1,-1,2834,-1,-1,3342,3353
The Carlyle A Rosewood Hotel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4080,4140,-1,3060,4140,4560,-1,3285,-1,5100,5100,-1,3870,3960,3960,3870,-1,3825,3825,3870,4140,4095,4230,4365,3870,3915,3960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3780,3870,3960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5820,-1,-1,-1,-1,3960,3960,4140,4140,4560,4740,4860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5340,-1,-1,-1,3420,3555,3690,3285,3420,3555,3690,3645,3690,3735,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DoubleTree by Hilton Metropolitan - New York City,777,805,1015,985,-1,-1,709,785,845,-1,-1,-1,935,-1,-1,-1,-1,835,935,-1,-1,785,-1,-1,1475,1605,1645,1625,-1,1305,-1,-1,1795,1695,1490,1422,1915,1735,1955,1995,-1,1475,-1,-1,1675,1545,1235,-1,1349,1385,1835,1405,1325,1329,1335,1345,1375,1335,1325,1525,1835,1975,1835,1655,1445,1405,1685,1335,1225,1055,1055,-1,1535,1465,1285,-1,1555,-1,-1,1515,1399,-1,1355,1375,-1,-1,1635,1574,1565,-1,1545,1465,-1,-1,1245,-1,-1,1311,1455,-1,-1,1575,1141,-1,-1,983,1057,1061,-1,1057,886,873,1163,916,983,-1,993,1057,1317,1313,-1,1073,-1,-1,917,1020,987,1133,867,853,850,837,1275,915,1065,980,854,1277,-1,905,1008,1008,964,827,-1,-1,940,-1,-1,878,-1,-1,928,1063,1013,884,1591,1495,1206,1168
