Hotel Name,Checkin Date,Discount Code,Discount Price
Andaz 5th Avenue - a concept by Hyatt,2015-08-12,3,1665
Andaz Wall Street - a concept by Hyatt,2015-08-12,2,1325
Andaz Wall Street - a concept by Hyatt,2015-08-12,3,1355
Andaz Wall Street - a concept by Hyatt,2015-08-12,1,1365
Best Western Plus Newark Airport West,2015-08-12,1,620
Cassa Hotel 45th Street,2015-08-12,1,1335
Cassa Hotel 45th Street,2015-08-12,2,1395
Cassa Hotel 45th Street,2015-08-12,3,1515
Cassa Hotel 45th Street,2015-08-12,4,1545
Comfort Inn Times Square South Area,2015-08-12,1,1082
Comfort Inn Times Square South Area,2015-08-12,2,1114
Comfort Inn Times Square South Area,2015-08-12,3,1174
Conrad New York,2015-08-12,3,1615
Conrad New York,2015-08-12,2,1635
Conrad New York,2015-08-12,4,1915
Courtyard New York Manhattan Times Square West,2015-08-12,1,1250
Courtyard by Marriott New York City Manhattan Fifth Avenue,2015-08-12,1,1239
Courtyard by Marriott New York City Manhattan Fifth Avenue,2015-08-12,2,1252
Courtyard by Marriott New York City Manhattan Fifth Avenue,2015-08-12,3,1265
Courtyard by Marriott New York Manhattan SoHo,2015-08-12,3,1215
Courtyard by Marriott New York Manhattan SoHo,2015-08-12,2,1215
Courtyard by Marriott New York Manhattan SoHo,2015-08-12,1,1215
Courtyard by Marriott New York Manhattan Times Square,2015-08-12,1,1222
DoubleTree Suites by Hilton New York City - Times Square,2015-08-12,3,1738
DoubleTree by Hilton Hotel New York - Times Square South,2015-08-12,1,930
DoubleTree by Hilton Hotel New York - Times Square South,2015-08-12,2,1010
DoubleTree by Hilton Hotel New York - Times Square South,2015-08-12,4,1160
DoubleTree by Hilton Hotel Newark Airport,2015-08-12,2,675
DoubleTree by Hilton Hotel Newark Airport,2015-08-12,3,715
DoubleTree by Hilton Hotel Newark Airport,2015-08-12,1,755
DoubleTree by Hilton Metropolitan - New York City,2015-08-12,1,777
DoubleTree by Hilton Metropolitan - New York City,2015-08-12,2,805
DoubleTree by Hilton Metropolitan - New York City,2015-08-12,4,985
DoubleTree by Hilton Metropolitan - New York City,2015-08-12,3,1015
DoubleTree by Hilton New York City - Chelsea,2015-08-12,2,1006
