,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0,Newark Liberty International Airport Marriott,24.6511627907,20.5660377358,22.9976580796,-1.0,-1.0,25.9903381643,25.9907834101,24.6511627907,19.1847133758,19.7169811321,22.5058548009,-1.0,22.5908372828,24.1167434716,30.3945965162,-1.0,-1.0,25.0,26.4398787471,23.3660130719,-1.0,24.0131578947,-1.0,-1.0,14.051973051,15.3403643337,16.1559888579,-1.0,-1.0,28.645193017,16.0923965351,15.5555555556,24.1830065359,23.2125367287,-1.0,-1.0,14.5702811245,18.7720930233,18.9779735683,-1.0,-1.0,23.7743589744,19.4170854271,16.1284300915,36.4296081277,34.9042709867,21.0888145671,-1.0,14.6255506608,16.3101604278,18.6493987049,-1.0,-1.0,17.7370517928,17.7435289468,15.3561517114,24.8334919125,26.1202185792,-1.0,-1.0,18.8098634604,17.9853479853,19.3472348141,-1.0,15.3552330023,16.6763285024,17.4977334542,-1.0,-1.0,21.9649805447,18.2673796791,15.7761802992,26.6805924801,26.2800620636,-1.0,-1.0,15.8517952636,15.4163090129,19.8609731877,-1.0,-1.0,19.4688644689,16.6434955313,15.4653196037,-1.0,17.3658536585,18.299904489,20.3235014272,15.7757757758,17.7777777778,19.8765432099,-1.0,-1.0,22.8415300546,17.5828877005,16.1641025641,27.1204188482,25.3475935829,-1.0,-1.0,-1.0,17.7230769231,18.5472636816,19.3090569561,15.9359359359,17.7230769231,18.452722063,-1.0,-1.0,21.6,17.0396222542,15.684729064,24.5564892624,24.5077932732,-1.0,-1.0,26.7692307692,23.127340824,-1.0,-1.0,-1.0,21.1329479769,20.4668611922,20.2427637722,19.6023391813,19.0616452767,19.2550143266,-1.0,-1.0,24.5257142857,16.6571155683,17.3719847651,26.5641025641,23.8925348646,-1.0,-1.0,22.0451527224,19.9663370503,22.0716965402,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.6857142857,25.0514285714,19.9085714286,17.5642458101,28.4571428571,21.5311004785,-1.0,-1.0,24.824120603,23.3366434955,-1.0,-1.0
1,Hilton Garden Inn Times Square,37.9534883721,30.7783018868,31.2646370023,33.3061446438,29.2452830189,28.5748792271,35.2073732719,37.5813953488,25.9872611465,26.8867924528,25.0117096019,28.847199565,-1.0,32.4116743472,36.7934589406,31.25,25.1960784314,25.7487922705,34.7928595487,-1.0,22.8260869565,-1.0,45.670995671,28.1887366819,34.4369586141,32.7325023969,30.4363974002,28.5280999108,-1.0,35.554462749,26.5255052936,30.5705705706,32.268907563,33.4769833497,30.4314477469,27.8044739022,27.7590361446,33.1348837209,33.9030837004,33.7399103139,34.2564102564,34.4615384615,31.5376884422,31.1554974799,38.7518142235,38.4388807069,22.0178372352,33.6194563662,25.127753304,27.825311943,31.2303422757,30.574929312,38.0124545926,23.5059760956,29.934795495,24.9768732655,26.013320647,29.2021857923,22.1145374449,16.5853658537,33.4012635011,32.326007326,33.9800543971,31.2862318841,32.7540106952,31.7874396135,27.8331822303,34.8062827225,31.2326043738,29.0077821012,31.2727272727,32.0769380221,27.4591720471,29.3832428239,27.3429951691,17.4891774892,-1.0,26.5922746781,33.1678252234,24.8109965636,35.7176806084,27.967032967,26.5342601787,30.095201088,29.7132284921,31.3365853659,30.6781279847,-1.0,30.3303303303,32.9802699896,31.1728395062,31.9371727749,33.0279329609,29.1803278689,29.4973262032,26.0307692308,31.5183246073,31.0374331551,32.8961748634,32.4245810056,34.4,34.7692307692,32.4179104478,-1.0,23.9239239239,25.3333333333,-1.0,23.7249638654,24.0796620398,25.8871794872,23.0342845412,23.3891625616,20.2054154995,22.7850697293,20.3186504217,-1.0,-1.0,-1.0,-1.0,-1.0,35.0311850312,30.9826589595,28.4493538975,-1.0,27.9532163743,24.9316221334,21.6618911175,21.3632119514,-1.0,23.2,19.3887297039,21.0114261532,26.358974359,20.816242822,24.9246231156,24.1805691855,28.2602921647,24.8895434462,-1.0,22.6210705183,-1.0,25.6,17.527885272,19.2228571429,-1.0,-1.0,-1.0,29.5104895105,-1.0,23.3371428571,25.12,25.1173184358,29.1428571429,22.1052631579,19.5406698565,20.9257265877,30.9748743719,26.0178748759,24.6313603323,33.267619517
2,Residence Inn Newark Elizabeth Liberty International Airport,28.6821705426,22.5235849057,23.3021077283,-1.0,-1.0,-1.0,27.158218126,28.6821705426,22.5477707006,21.8160377358,22.8337236534,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.8288986191,28.9215686275,-1.0,-1.0,-1.0,-1.0,16.8431183831,17.3537871524,17.7344475395,-1.0,-1.0,-1.0,17.6130895091,17.9179179179,-1.0,-1.0,-1.0,-1.0,14.3775100402,18.3255813953,17.5330396476,-1.0,-1.0,-1.0,19.3969849246,17.2671271234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.4619930711,18.7728937729,18.4043517679,-1.0,16.6348357525,-1.0,19.401631913,-1.0,-1.0,-1.0,-1.0,17.2333398096,-1.0,-1.0,-1.0,-1.0,16.5584415584,14.9871244635,20.953326713,-1.0,-1.0,-1.0,17.6564051639,16.8447639402,-1.0,15.5317073171,15.7975167144,16.9552806851,14.994994995,16.0124610592,17.1810699588,-1.0,-1.0,-1.0,16.513368984,15.1179487179,-1.0,-1.0,-1.0,-1.0,18.358974359,15.0358974359,13.9502487562,14.0616246499,13.9339339339,14.0923076923,14.1165234002,-1.0,-1.0,-1.0,15.0482447136,13.7142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.5780346821,15.5481450604,14.9019607843,16.0935672515,15.0852093415,14.6895893028,-1.0,-1.0,-1.0,13.6962750716,14.5577655523,-1.0,-1.0,-1.0,-1.0,17.2908366534,14.8748159057,16.1942476032,-1.0,-1.0,-1.0,-1.0,-1.0,14.8018648019,14.6044158234,14.8642322097,15.9207459207,-1.0,-1.0,16.16,14.5474860335,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3,Westin New York at Times Square,39.1627906977,30.1179245283,31.1007025761,-1.0,-1.0,31.038647343,-1.0,39.1007751938,29.6305732484,28.6320754717,30.8430913349,-1.0,34.2180094787,34.6850998464,43.6189121934,43.4554973822,-1.0,-1.0,-1.0,-1.0,25.845410628,27.4122807018,51.6883116883,35.4946727549,-1.0,-1.0,40.2042711235,-1.0,30.1454545455,41.6769117285,34.0134744947,-1.0,-1.0,35.9059745348,33.7296260786,-1.0,-1.0,44.6139534884,35.5594713656,40.0,31.3025641026,31.6717948718,32.9648241206,-1.0,-1.0,41.9734904271,25.641025641,40.7725321888,31.8942731278,31.6934046346,33.9870490287,39.547596607,-1.0,-1.0,-1.0,-1.0,-1.0,43.3005464481,-1.0,29.9233449477,41.6547788873,39.1575091575,40.199456029,-1.0,25.89763178,27.5555555556,26.7452402539,41.1518324607,-1.0,28.0155642023,-1.0,25.7625801438,-1.0,31.5554693561,27.9420289855,16.158008658,31.6271963331,29.4592274678,35.2532274081,38.9175257732,-1.0,31.2271062271,31.8967229394,30.2312026423,-1.0,37.8341463415,37.917860554,-1.0,32.1521521522,34.7663551402,35.3703703704,-1.0,39.1955307263,36.043715847,34.4598930481,31.3230769231,-1.0,36.256684492,34.9726775956,40.8268156425,-1.0,35.8153846154,37.4527363184,-1.0,26.7467467467,28.6358974359,27.6026743075,-1.0,29.3301146651,27.7948717949,27.3865735989,24.7487684729,-1.0,32.0959803117,28.4161199625,36.9863013699,37.4358974359,31.7415730337,37.0674486804,-1.0,40.9563409563,38.289017341,35.9107961651,-1.0,35.8362573099,33.368398906,31.1556829035,31.3912231559,-1.0,30.6971428571,24.1451766953,26.3647905205,-1.0,29.183757178,27.6180904523,32.8361138371,37.1845949535,31.054071113,31.6590245936,-1.0,-1.0,27.8628571429,-1.0,26.9714285714,25.7808857809,26.862925483,27.6451310861,27.3193473193,-1.0,33.5314285714,30.9028571429,30.5027932961,-1.0,27.2727272727,26.5645933014,28.6329386437,-1.0,34.2999006951,34.8494288681,-1.0
4,Loews Regency New York Hotel,53.1782945736,43.5141509434,40.1639344262,-1.0,37.6179245283,38.5265700483,-1.0,-1.0,43.6942675159,39.5047169811,40.1639344262,-1.0,51.6587677725,51.4592933948,60.9669392108,-1.0,40.0735294118,40.4589371981,-1.0,-1.0,40.4589371981,37.6096491228,72.5108225108,49.7716894977,59.5765158807,61.2655800575,61.1884865367,60.5709188225,52.6363636364,76.1003196459,61.5014436959,61.961961962,59.6638655462,64.5445641528,61.2655800575,64.5401822701,-1.0,59.4418604651,58.0616740088,62.6905829596,-1.0,68.6153846154,-1.0,-1.0,100.0,100.0,62.1516164994,100.0,-1.0,64.0819964349,72.0629047179,-1.0,80.3061754022,50.9163346614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.8504177705,55.2197802198,55.9383499547,-1.0,62.9297173415,58.2608695652,55.9383499547,70.0523560209,56.75944334,62.1595330739,71.550802139,64.01787449,59.7227497152,59.0574088441,58.8405797101,31.3311688312,50.1336898396,46.008583691,53.9225422046,49.5704467354,67.8469581749,55.2197802198,56.6037735849,57.9949485137,60.9620721554,62.3414634146,50.3533906399,50.9229305423,61.961961962,51.4226375909,50.1234567901,51.8534031414,69.1620111732,49.7486338798,47.8288770053,53.2307692308,46.8272251309,48.6844919786,54.1202185792,56.2234636872,54.8923076923,49.9692307692,46.0895522388,50.7189542484,43.9439439439,49.9692307692,44.2406876791,51.951269874,53.2086099376,54.2564102564,51.2215150893,51.1330049261,41.0084033613,47.4979491386,52.3898781631,48.7157534247,55.2820512821,52.34082397,52.688172043,-1.0,80.4313929314,55.3757225434,48.2701125469,52.1942110177,53.2397660819,47.885545971,44.2406876791,43.2492997199,75.3642384106,45.6,38.1088825215,42.213288193,49.1282051282,40.9146841674,40.1005025126,50.9322865554,74.2363877822,-1.0,-1.0,-1.0,36.5445026178,42.88,43.6148417938,44.7085714286,50.0,46.8261269549,47.8698501873,49.324009324,-1.0,-1.0,55.2,57.094972067,-1.0,-1.0,46.2200956938,61.4639397201,-1.0,-1.0,57.0093457944,-1.0
5,Viceroy New York,46.3565891473,36.4386792453,42.2716627635,44.1816204459,34.5518867925,-1.0,-1.0,-1.0,34.2675159236,32.7830188679,33.606557377,39.7498640566,38.7045813586,40.0921658986,49.2356914326,46.6623036649,32.3039215686,32.270531401,-1.0,-1.0,-1.0,-1.0,-1.0,43.0745814307,-1.0,-1.0,-1.0,-1.0,38.5272727273,58.9623801328,44.9470644851,51.2512512513,-1.0,33.5749265426,40.2876318313,-1.0,39.9678714859,40.9302325581,46.0616740088,45.2735426009,39.5897435897,46.6666666667,42.5929648241,46.779914131,67.4891146589,62.5920471281,41.7131178001,64.234620887,41.6740088106,38.2531194296,42.1831637373,43.0160226202,51.5568240789,33.3386454183,32.4441809919,-1.0,51.8553758325,40.218579235,38.4845814978,36.8641114983,-1.0,44.9633699634,46.690843155,45.5615942029,42.1122994652,41.0628019324,40.7071622847,41.5497382199,41.351888668,46.673151751,47.0374331551,45.0359432679,47.9301177364,39.8758727696,45.6425120773,25.3787878788,39.820473644,34.9356223176,42.005958292,38.2302405498,46.0076045627,39.1758241758,40.6752730884,46.6679619196,43.9407955597,46.087804878,44.2406876791,45.7088487155,40.7407407407,44.1329179647,45.5761316872,46.0104712042,45.9441340782,42.2950819672,36.4705882353,35.3846153846,46.5968586387,39.679144385,41.6393442623,48.0893854749,47.0769230769,46.0512820513,40.039800995,43.2306255836,36.7367367367,38.6666666667,37.0391595033,38.9221556886,34.9024341179,34.9743589744,34.3871894888,34.1871921182,40.4295051354,39.7662018048,34.8453608247,-1.0,43.6512820513,39.0262172285,-1.0,-1.0,-1.0,-1.0,40.5794080867,35.4995331466,-1.0,34.1889333053,32.5692454632,37.3295985061,-1.0,-1.0,34.0974212034,39.462547609,39.4871794872,37.3666940115,35.3969849246,37.5858684985,43.7715803453,37.0502840311,38.2451021259,36.7884451997,26.9109947644,29.3714285714,33.9403596631,28.4571428571,37.4125874126,35.0735970561,36.6338951311,36.4801864802,35.4742857143,34.4,33.3028571429,35.8659217877,-1.0,31.6746411483,36.0765550239,-1.0,47.7386934673,40.0198609732,-1.0,-1.0
6,Four Seasons Hotel New York,95.8139534884,76.7688679245,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.7261146497,76.7688679245,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,74.387254902,75.9661835749,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,100.0,100.0,100.0,-1.0,-1.0,100.0,100.0,100.0,100.0,100.0,100.0,86.3453815261,100.0,100.0,100.0,100.0,100.0,97.9899497487,93.2424864663,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,99.4862675361,100.0,100.0,100.0,100.0,100.0,-1.0,-1.0,94.9229374433,95.1992753623,-1.0,88.4057971014,84.76881233,100.0,88.9662027833,89.0077821012,100.0,-1.0,83.0801367262,84.8525989139,90.3381642512,48.9718614719,96.7341482047,100.0,100.0,90.2920962199,-1.0,-1.0,100.0,-1.0,100.0,100.0,100.0,100.0,100.0,100.0,96.1934156379,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.595911625,98.0687990344,100.0,95.9761855882,100.0,100.0,99.9794913864,100.0,-1.0,100.0,98.0337078652,100.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,100.0,100.0,-1.0,-1.0,100.0,-1.0,100.0,99.9794913864,100.0,100.0,-1.0,-1.0,-1.0,-1.0,100.0,100.0,99.5902572274,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.4736842105,87.5598086124,100.0,100.0,100.0,100.0,-1.0
7,Langham Place New York Fifth Avenue,95.3488372093,66.5801886792,73.2084309133,55.8727569331,39.9764150943,68.1884057971,54.8387096774,-1.0,52.3312101911,49.3632075472,48.5480093677,57.9934747145,61.7693522907,63.9324116743,76.1109136154,77.585078534,42.2794117647,46.0144927536,65.1734590771,-1.0,-1.0,-1.0,-1.0,66.0273972603,78.9412897016,81.4381591563,74.5961002786,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,75.3574926543,-1.0,-1.0,66.7309236948,72.7069767442,78.0440528634,80.3587443946,71.0564102564,86.1743589744,77.3266331658,-1.0,-1.0,-1.0,-1.0,-1.0,56.4052863436,54.7593582888,56.8362627197,62.7898209237,90.9704203425,55.203187251,-1.0,85.3469010176,65.9181731684,-1.0,-1.0,-1.0,73.1200326065,65.5860805861,71.8223028105,81.1594202899,65.5844155844,66.2995169082,66.5639165911,80.2722513089,64.6918489066,67.1789883268,-1.0,66.7184767826,-1.0,-1.0,-1.0,-1.0,59.9312452254,48.2746781116,63.7140019861,57.3367697595,67.7756653992,57.380952381,60.8341608739,-1.0,68.6586493987,59.7658536585,66.9914040115,62.2835394862,59.9199199199,62.8868120457,65.1851851852,-1.0,56.2905027933,-1.0,72.2780748663,-1.0,-1.0,70.4598930481,-1.0,-1.0,78.4205128205,66.5025641026,71.0646766169,71.5779645191,65.5255255255,69.0871794872,68.88252149,78.8147842247,58.4590625629,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.1632016632,69.2023121387,64.5685702376,60.466853408,68.3742690058,60.7616242373,57.841451767,59.1596638655,-1.0,66.3085714286,56.1031518625,-1.0,-1.0,-1.0,-1.0,67.6153091266,76.7330677291,66.7367978119,68.3826594414,73.3220050977,-1.0,-1.0,-1.0,-1.0,66.5034965035,65.616375345,70.8801498127,-1.0,58.0114285714,-1.0,-1.0,-1.0,60.8228571429,-1.0,-1.0,61.0118406889,-1.0,-1.0,69.4080996885,82.6269098078
8,The Carlyle A Rosewood Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,100.0,-1.0,100.0,100.0,100.0,-1.0,100.0,-1.0,97.794822627,94.7075208914,-1.0,70.3636363636,97.3690681092,76.2271414822,77.4774774775,-1.0,74.9265426053,73.3461169703,64.125932063,66.5060240964,76.1860465116,74.5374449339,78.2959641256,79.3846153846,80.3076923077,79.5979899497,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.0434782609,70.1722574796,82.9319371728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,73.2654949121,77.2682926829,79.0830945559,78.782112274,91.2912912913,98.4423676012,100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,79.0751445087,74.0933722384,68.9075630252,76.8421052632,71.9545550179,67.9083094556,68.9075630252,96.5562913907,84.3428571429,71.3467048711,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,DoubleTree by Hilton Metropolitan - New York City,24.0930232558,18.9858490566,23.7704918033,26.7808591626,-1.0,-1.0,21.7818740399,24.3410852713,21.5286624204,-1.0,-1.0,-1.0,29.541864139,-1.0,-1.0,-1.0,-1.0,20.1690821256,31.4920848771,-1.0,-1.0,17.2149122807,-1.0,-1.0,28.3926852743,30.7766059444,30.547818013,28.9919714541,-1.0,32.0875338087,-1.0,-1.0,33.5200746965,33.2027424094,28.5714285714,23.5625517813,30.7630522088,32.2790697674,34.449339207,35.7847533632,-1.0,30.2564102564,-1.0,-1.0,48.6211901306,45.5081001473,22.9468599034,-1.0,23.7709251101,24.688057041,33.9500462535,26.4844486334,34.3798650752,21.1792828685,26.3781861292,24.8843663275,26.1655566127,29.1803278689,23.3480176211,21.2543554007,37.395557367,36.1721611722,33.2728921124,29.981884058,27.5974025974,27.1497584541,30.5530371714,27.9581151832,24.3538767396,20.5252918288,22.5668449198,-1.0,29.1492593999,28.4134988363,24.8309178744,-1.0,29.6982429335,-1.0,-1.0,26.0309278351,33.2461977186,-1.0,26.9116186693,26.7145910239,-1.0,-1.0,31.2320916905,29.9524262607,31.3313313313,-1.0,31.7901234568,30.6806282723,-1.0,-1.0,26.6310160428,-1.0,-1.0,28.0427807487,31.8032786885,-1.0,-1.0,32.3076923077,22.7064676617,-1.0,-1.0,20.1641025641,20.1910219675,21.9079083213,-1.0,21.6820512821,18.1892835147,17.2019704433,21.7180205415,18.7858900738,18.4254920337,-1.0,20.3692307692,19.7940074906,25.7478005865,34.7998939836,-1.0,24.8092485549,-1.0,-1.0,21.4502923977,21.4601304439,18.8538681948,21.1577964519,22.9668874172,19.4971428571,16.2368672397,17.7105374524,26.1538461538,18.7653814602,21.4070351759,19.2345436703,22.6826029216,26.8672417421,-1.0,19.2225998301,21.109947644,23.04,21.9440018211,18.9028571429,-1.0,-1.0,22.0037453184,-1.0,-1.0,20.0685714286,-1.0,-1.0,21.2114285714,20.3444976077,19.3875598086,19.0312163617,31.9798994975,29.6921549156,25.046728972,28.7826515525
